Instrument,Issuer Name,Industry Sub Sector Description,Country Name,Issuer Country Name,Issue Date,Maturity Date,Preferred RIC,Amount Outstanding,Coupon,Coupon Frequency,Coupon Type Description,Coupon Effective Date,Issuer Rating,Fitchs Rating,Moodys Rating,SP Rating,Price,Yield To Maturity,ISMA Bid Yield,ISMA Ask Yield,Yield To Maturity,Z-Spread,Call Type Description,PUTCALLIND,Option Adjusted Spread,Option Adjusted Spread Bid,Option Value,Option Adjusted Spread,Price (-25bp),Effective Duration,DV01,Convexity,Spread Duration,Price (+25bp),ZC Volatility,Zero Option Adjusted Price,Option Adjusted Convexity,Exercise Type,Duration,Modified Duration,Convexity,Make Whole Call Flag
US83417KCX46,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-08-06,2020-08-06,83417KCX4=,5000000,3.6,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-08-06,,,,,94.4395,14.248201,14.75,14.64,14.248201,1294.897281,,,1242.697188,1294.4,0.0,1269.484204,94.56338,0.515573,0.004946,0.005104,0.515573,94.315926,1269.484204,,,,0.5495,0.5131,0.5064,
US83417KCY29,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-08-06,2025-08-06,83417KCY2=,5000000,4.7,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-08-06,,,,,85.5939,7.954816,8.11,8.01,7.954816,641.811664,,,625.890872,646.4,0.0,629.333524,86.609163,4.6071,0.04033,0.257007,4.6071,84.592698,629.333524,,,,4.7887,4.6066,25.7017,
US83417KDK16,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-08-20,2030-08-20,,5000000,5.45,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US83417KDH86,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-08-20,2020-08-20,83417KDH8=,5000000,1.6,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-08-20,,,,,95.1719,10.088139,10.34,10.23,10.088139,854.483748,,,828.379448,856.4272,0.0,855.024804,95.307879,0.567139,0.005435,0.00593,0.567139,95.036276,855.024804,,,,0.593,0.5646,0.5896,
US83417KAP30,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-04-02,2025-04-02,83417KAP3=,15000,4.7,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-04-02,,,,,86.3205,7.954802,8.11,8.01,7.954802,642.573609,,,626.685985,647.4,0.0,631.072636,87.289292,4.361832,0.0385,0.230178,4.361832,85.364406,631.072636,,,,4.5335,4.3611,23.0187,
US83417KAE82,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-03-19,2030-03-19,83417KAE8=,252000,5.45,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-03-19,,,,,81.218,8.206568,8.37,8.29,8.206568,657.748914,,,640.885502,661.1,0.0,639.749681,82.72635,7.15585,0.059733,0.660803,7.15585,79.744125,639.749681,,,,7.4512,7.1588,66.3005,
US83417KAD00,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-03-19,2025-03-19,83417KAD0=,394000,4.7,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-03-19,,,,,86.5879,7.904805,8.06,7.96,7.904805,637.756343,,,621.992524,642.5,0.0,626.558774,87.553917,4.338009,0.038406,0.227453,4.338009,85.634469,626.558774,,,,4.5076,4.3373,22.7632,
US83417KAN81,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-04-02,2020-04-02,83417KAN8=,24000,3.6,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-04-02,,,,,98.6553,10.037955,10.28,10.18,10.037955,843.837681,,,819.350678,845.8,0.0,851.60224,98.706393,0.204096,0.002044,0.001389,0.204096,98.604294,851.60224,,,,0.2116,0.2015,0.1368,
US83417KBW71,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-06-11,2030-06-11,83417KBW7=,5000000,5.45,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-06-11,,,,,80.6494,8.256572,8.42,8.34,8.256572,662.302459,,,645.285928,665.7,0.0,644.159533,82.168732,7.255403,0.060151,0.68218,7.255403,79.165415,644.159533,,,,7.5569,7.2587,68.4349,
US83417KBS69,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-05-29,2030-05-29,83417KBS6=,10000000,5.45,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-05-29,,,,,80.3898,8.306565,8.47,8.4,8.306565,667.734511,,,650.471849,671.0,0.0,649.371619,81.899212,7.231962,0.059769,0.677626,7.231962,78.91539,649.371619,,,,7.5343,7.2352,67.9994,
US83417KBR86,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-05-29,2025-05-29,83417KBR8=,10000000,4.7,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-05-29,,,,,86.3822,7.854801,8.01,7.9,7.854801,632.176446,,,616.601742,636.8,0.0,620.639193,87.377482,4.478978,0.039562,0.242491,4.478978,85.400305,620.639193,,,,4.6531,4.4784,24.2703,
US83417KBV98,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-06-11,2025-06-11,83417KBV9=,10000000,4.7,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-06-11,,,,,86.1152,7.904807,8.06,7.96,7.904807,636.999973,,,621.295136,641.8,0.0,625.184605,87.112677,4.500628,0.039633,0.245085,4.500628,85.131212,625.184605,,,,4.6768,4.5,24.5119,
US83417KBU16,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-06-11,2020-06-11,83417KBU1=,10000000,3.6,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-06-11,,,,,97.489,10.038043,10.28,10.18,10.038043,846.701826,,,820.054023,850.4,0.0,849.920417,97.583894,0.383286,0.003794,0.003307,0.383286,97.39431,849.920417,,,,0.3997,0.3807,0.3279,
US83417KBQ04,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-05-29,2020-05-29,83417KBQ0=,10000000,3.6,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-05-29,,,,,98.4986,7.748118,7.89,7.79,7.748118,611.294996,,,593.7732,610.7,0.0,625.787731,98.587086,0.35604,0.00356,0.002965,0.35604,98.410299,625.787731,,,,0.3671,0.3535,0.2965,
US83417KAV08,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-04-09,2030-04-09,83417KAV0=,12000,5.45,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-04-09,,,,,80.557,8.306575,8.47,8.4,8.306575,667.921314,,,650.676463,671.3,0.0,649.530952,82.055943,7.166901,0.059351,0.664337,7.166901,79.092442,649.530952,,,,7.4664,7.17,66.6392,
US83417KAU25,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-04-09,2025-04-09,83417KAU2=,10000,4.7,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-04-09,,,,,86.473,7.904805,8.06,7.96,7.904805,637.375993,,,621.677683,642.2,0.0,626.018335,87.446976,4.377731,0.038707,0.231802,4.377731,85.511833,626.018335,,,,4.5489,4.377,23.1836,
US83417KAT51,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-04-09,2020-04-09,83417KAT5=,10000,3.6,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-04-09,,,,,98.5365,10.038217,10.28,10.18,10.038217,845.415846,,,819.877549,846.9,0.0,852.763261,98.592016,0.222278,0.002223,0.001551,0.222278,98.481081,852.763261,,,,0.2307,0.2197,0.1532,
US83417KCA43,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-06-18,2030-06-18,83417KCA4=,5000000,5.45,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-06-18,,,,,80.3257,8.306577,8.47,8.4,8.306577,667.487881,,,650.260136,670.9,0.0,649.146145,81.839326,7.256594,0.059926,0.682981,7.256594,78.847325,649.146145,,,,7.56,7.2599,68.5196,
US83417KDY10,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-09-17,2020-09-17,83417KDY1=,5000000,3.6,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-09-17,,,,,95.8659,10.088119,10.34,10.23,10.088119,852.805815,,,826.644247,860.2,0.0,852.34612,96.020014,0.630833,0.006142,0.007064,0.630833,95.712215,852.34612,,,,0.6599,0.6283,0.6997,
US83417KAC27,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-03-19,2020-03-19,83417KAC2=,2800000,3.6,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-03-19,,,,,98.8675,10.08812,10.34,10.23,10.08812,862.213326,,,836.950132,861.0,0.0,869.598496,98.909663,0.170287,0.001709,0.001082,0.170287,98.825405,869.598496,,,,0.1761,0.1677,0.1081,
US83417KBD90,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-04-30,2030-04-30,83417KBD9=,10000000,5.45,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-04-30,,,,,80.487,8.30657,8.47,8.4,8.30657,667.841964,,,650.589545,671.2,0.0,649.463535,81.990359,7.194267,0.059527,0.669904,7.194267,79.018285,649.463535,,,,7.495,7.1974,67.2089,
US83417KBC18,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-04-30,2025-04-30,83417KBC1=,10000000,4.7,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-04-30,,,,,86.1572,7.954812,8.11,8.01,7.954812,642.582284,,,626.655414,647.2,0.0,630.860392,87.136394,4.417345,0.038918,0.236006,4.417345,85.191001,630.860392,,,,4.5913,4.4167,23.6113,
US83417KBL17,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-05-21,2020-05-21,83417KBL1=,10000000,3.6,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-05-21,,,,,97.8096,10.088168,10.34,10.23,10.088168,857.162106,,,828.476739,854.8,0.0,861.019016,97.891398,0.331275,0.00329,0.00266,0.331275,97.727967,861.019016,,,,0.3452,0.3287,0.2657,
US83417KBM99,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-05-21,2025-05-21,83417KBM9=,10000000,4.7,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-05-21,,,,,86.2309,7.904801,8.06,7.96,7.904801,637.379285,,,621.619468,642.0,0.0,625.700703,87.220523,4.461024,0.039336,0.24061,4.461024,85.254537,625.700703,,,,4.6356,4.4604,24.0792,
US83417KBN72,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-05-21,2030-05-21,83417KBN7=,10000000,5.45,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-05-21,,,,,80.7159,8.256564,8.42,8.34,8.256564,662.551371,,,645.500287,665.9,0.0,644.388546,82.230749,7.229368,0.059983,0.676548,7.229368,79.236135,644.388546,,,,7.5298,7.2326,67.8865,
US83417KBJ60,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-05-14,2030-05-14,83417KBJ6=,10000000,5.45,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-05-14,,,,,80.7391,8.256563,8.42,8.34,8.256563,662.578151,,,645.529478,665.9,0.0,644.410566,82.252471,7.220243,0.059924,0.674678,7.220243,79.260725,644.410566,,,,7.5203,7.2234,67.6951,
US83417KBH05,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-05-14,2025-05-14,83417KBH0=,10000000,4.7,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-05-14,,,,,86.2713,7.904808,8.06,7.96,7.904808,637.380095,,,621.631035,642.0,0.0,625.753452,87.258325,4.447153,0.039231,0.23913,4.447153,85.297459,625.753452,,,,4.6212,4.4465,23.9287,
US83417KBG22,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-05-14,2020-05-14,83417KBG2=,10000000,3.6,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-05-14,,,,,97.9442,10.038235,10.28,10.18,10.038235,851.034215,,,822.727258,848.3,0.0,855.616066,98.021671,0.313177,0.003114,0.00246,0.313177,97.866882,855.616066,,,,0.3261,0.3106,0.2454,
US83417KAY47,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-04-23,2020-04-23,83417KAY4=,10000000,3.6,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-04-23,,,,,98.2993,10.038195,10.28,10.18,10.038195,847.991146,,,820.82946,849.4,0.0,854.163818,98.36363,0.25864,0.002581,0.001895,0.25864,98.235089,854.163818,,,,0.2688,0.2561,0.1881,
US83417KBA51,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-04-23,2030-04-23,83417KBA5=,10000000,5.45,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-04-23,,,,,80.5104,8.306567,8.47,8.4,8.306567,667.868232,,,650.618331,671.3,0.0,649.485416,82.01229,7.185153,0.059469,0.668046,7.185153,79.043067,649.485416,,,,7.4855,7.1883,67.0188,
US83417KAZ12,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-04-23,2025-04-23,83417KAZ1=,10000000,4.7,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-04-23,,,,,86.1981,7.954802,8.11,8.01,7.954802,642.579481,,,626.662896,647.4,0.0,630.912162,87.1747,4.403474,0.038814,0.234542,4.403474,85.23442,630.912162,,,,4.5768,4.4028,23.4625,
US83417KDJ43,TESLA ENERGY OPERATIONS INC,Utility - Other,United States,United States,2015-08-20,2025-08-20,83417KDJ4=,5000000,4.7,2.0,Fixed:Plain Vanilla Fixed Coupon,2015-08-20,,,,,85.7143,7.904807,8.06,7.96,7.904807,636.602618,,,620.850543,641.2,0.0,624.182366,86.737496,4.636967,0.040647,0.260283,4.636967,84.705365,624.182366,,,,4.8186,4.6365,26.0346,
